Computer Networks,Medium,What is firewall used for?,Security control,Speed increase,Routing,File transfer,Security control,Protects network traffic
Computer Networks,Medium,Which protocol is used in web browsing?,HTTP,FTP,SMTP,POP3,HTTP,HTTP loads web pages
Computer Networks,Medium,What is packet loss?,Data not received,Data duplication,Speed increase,Encryption failure,Data not received,Packets lost during transmission
Computer Networks,Medium,Which layer ensures end-to-end delivery?,Transport Layer,Physical Layer,Session Layer,Application Layer,Transport Layer,TCP works at transport layer
Computer Networks,Medium,What is a gateway?,Network connector,Software app,File system,Hardware disk,Network connector,Connects different networks
Computer Networks,Medium,Which is a private IP range?,192.168.x.x,8.8.8.8,172.100.100.1,1.1.1.1,192.168.x.x,Private networks use 192.168
Computer Networks,Medium,What is VPN?,Virtual Private Network,Visual Protocol Node,Virtual Public Network,Verified Private Node,Virtual Private Network,VPN creates secure connection
Computer Networks,Medium,What is MAC filtering?,Device access control,Speed control,File deletion,IP change,Device access control,Controls allowed devices
Computer Networks,Medium,What is routing table?,Path information,File list,Memory list,User list,Path information,Stores network routes
Computer Networks,Medium,Which protocol sends error messages?,ICMP,TCP,UDP,FTP,ICMP,ICMP reports errors
Computer Networks,Medium,What is congestion?,Network overload,Fast speed,Data encryption,File transfer,Network overload,Too much traffic in network
Computer Networks,Medium,Which layer is closest to user?,Application Layer,Physical Layer,Network Layer,Data Link Layer,Application Layer,It interacts with users
Computer Networks,Medium,What is packet header?,Control information,Data body,File name,IP address only,Control information,Contains routing info
Computer Networks,Medium,What is peer-to-peer network?,Direct device connection,Central server network,Wireless only,Internet only,Direct device connection,Devices connect directly
Computer Networks,Medium,What is latency affected by?,Distance,File size only,CPU only,Software only,Distance,Long distance increases delay
Computer Networks,Medium,What is bandwidth efficiency?,Data usage effectiveness,Speed only,Hardware power,CPU usage,Data usage effectiveness,Efficient use of bandwidth
Computer Networks,Medium,Which layer handles framing?,Data Link Layer,Physical Layer,Session Layer,Application Layer,Data Link Layer,Creates frames for transmission
Computer Networks,Medium,What is encapsulation?,Adding headers,Deleting data,Encrypting files,Speed increase,Adding headers,Data wrapped with headers
Computer Networks,Medium,What is decapsulation?,Removing headers,Adding files,Speed increase,Encryption,Removing headers,Opposite of encapsulation
Computer Networks,Medium,Which protocol is used for file transfer?,FTP,HTTP,SMTP,DNS,FTP,FTP transfers files
Computer Networks,Medium,What is MAC address length?,48 bits,32 bits,64 bits,16 bits,48 bits,MAC is 48-bit address
Computer Networks,Medium,What is IPv6 size?,128 bits,32 bits,64 bits,256 bits,128 bits,IPv6 uses larger address space
Computer Networks,Medium,What is hop count?,Number of routers,File size,Speed measure,IP type,Number of routers,Counts network hops
Computer Networks,Medium,What is proxy server?,Intermediate server,Game server,Router only,Firewall only,Intermediate server,Acts between client and internet
Computer Networks,Medium,What is socket?,IP + Port,File system,Hardware device,Network cable,IP + Port,Sockets identify connections
Computer Networks,Medium,Which layer handles error detection?,Data Link Layer,Physical Layer,Session Layer,Application Layer,Data Link Layer,Checks errors in frames
Computer Networks,Medium,What is round trip time?,Time for request-response,Download speed,Upload speed,CPU time,Time for request-response,Measures latency
Computer Networks,Medium,What is multicast?,One to many,One to one,Many to one,All to all,One to many,Sends data to group
Computer Networks,Medium,What is unicast?,One to one,One to many,Many to many,All to all,One to one,Single sender to receiver
Computer Networks,Medium,What is broadcast?,One to all,One to one,Many to one,None,One to all,Sends to all devices
Computer Networks,Medium,What is jitter?,Variation in delay,Speed increase,File size,Encryption type,Variation in delay,Delay variation in packets
Computer Networks,Medium,What is network throughput?,Actual data transfer rate,Maximum speed only,CPU speed,Memory speed,Actual data transfer rate,Real achieved bandwidth

category,difficulty,question,option1,option2,option3,option4,correct_answer,explanation
Computer Networks,Hard,Which protocol uses sliding window?,TCP,UDP,IP,ARP,TCP,TCP uses flow control with sliding window
Computer Networks,Hard,What is selective repeat?,ARQ protocol,Routing protocol,Encryption method,Switching method,ARQ protocol,Used for error control
Computer Networks,Hard,Which algorithm is used in OSPF?,Dijkstra,Bellman Ford,Floyd Warshall,Prim,Dijkstra,OSPF uses shortest path first
Computer Networks,Hard,What is BGP used for?,Internet routing,File transfer,Email sending,Encryption,Internet routing,BGP connects ISPs
Computer Networks,Hard,What is CIDR?,Classless addressing,Classful routing,Encryption method,Switching technique,Classless addressing,CIDR replaces classful IP
Computer Networks,Hard,What is tunneling in VPN?,Encapsulating packets,Deleting packets,Speed increase,Routing only,Encapsulating packets,Data is wrapped securely
Computer Networks,Hard,Which attack floods network?,DDoS,Phishing,SQL Injection,MITM,DDoS,Overloads network traffic
Computer Networks,Hard,What is MAC spoofing?,Changing MAC address,Encrypting MAC,Deleting MAC,Speed change,Changing MAC address,Used in attacks
Computer Networks,Hard,What is VLAN?,Virtual LAN,Very Large Area Network,Virtual Link Access,Verified LAN,Virtual LAN,Logical LAN segmentation
Computer Networks,Hard,Which layer uses ports?,Transport Layer,Network Layer,Physical Layer,Data Link Layer,Transport Layer,Ports are in TCP/UDP
Computer Networks,Hard,What is three-way handshake?,TCP connection setup,Routing method,Encryption method,Switching method,TCP connection setup,SYN-SYNACK-ACK
Computer Networks,Hard,What is SYN flag used for?,Connection request,Data transfer,Encryption,Routing,Connection request,Used in TCP handshake
Computer Networks,Hard,What is ACK?,Acknowledgement,Attack,Address Key,Access Key,Acknowledgement,Confirms data receipt
Computer Networks,Hard,What is congestion control?,Traffic management,Encryption,Routing,File transfer,Traffic management,TCP manages congestion
Computer Networks,Hard,Which protocol is stateless?,UDP,TCP,FTP,SMTP,UDP,UDP does not maintain state
Computer Networks,Hard,What is flow control?,Speed adjustment,Encryption,Routing,Addressing,Speed adjustment,Prevents overflow
Computer Networks,Hard,What is stop-and-wait protocol?,Send one frame at a time,Send all frames,No error check,Random send,Send one frame at a time,Simple ARQ method
Computer Networks,Hard,What is distance vector routing?,Routing based on distance,Based on encryption,Based on ports,Based on MAC,Routing based on distance,Bellman-Ford based routing
Computer Networks,Hard,What is link state routing?,Topology knowledge routing,Random routing,MAC routing,IP routing,Topology knowledge routing,Uses full network map
Computer Networks,Hard,What is NAT overload?,Port address translation,IP duplication,Routing failure,Encryption method,Port address translation,Multiple private IPs use one public IP
Computer Networks,Hard,What is subnetting?,Dividing network,Joining networks,Encrypting data,Speed increase,Dividing network,Creates smaller networks
Computer Networks,Hard,What is supernetting?,Combining networks,Dividing networks,Encryption,Firewall technique,Combining networks,Opposite of subnetting
Computer Networks,Hard,What is MTU?,Maximum transmission unit,Largest IP,Minimum packet size,Memory type,Maximum transmission unit,Max packet size allowed
Computer Networks,Hard,What is fragmentation?,Breaking packets,Joining packets,Encryption,Routing,Breaking packets,Large packets split
Computer Networks,Hard,Which protocol uses UDP?,DNS,HTTP,SMTP,FTP,DNS,DNS often uses UDP
Computer Networks,Hard,What is socket programming?,Network programming using sockets,Hardware setup,Routing setup,Firewall setup,Network programming using sockets,Used in communication apps
Computer Networks,Hard,What is half duplex?,Both directions but one at a time,Only one direction,No communication,Full speed,Both directions but one at a time,Walkie-talkie example
Computer Networks,Hard,What is full duplex?,Both directions simultaneously,One direction only,No communication,Half speed,Both directions simultaneously,Phone call example
Computer Networks,Hard,What is piggybacking?,Combining ACK with data,Speed increase,Encryption,Routing,Combining ACK with data,Saves bandwidth
Computer Networks,Hard,What is ARQ?,Automatic Repeat Request,Address Routing Query,Advanced Routing Queue,Access Request,Automatic Repeat Request,Error control method
Computer Networks,Hard,What is Go-Back-N?,ARQ protocol,Routing protocol,Encryption method,Switch type,ARQ protocol,Resends multiple frames
Computer Networks,Hard,What is CRC?,Cyclic Redundancy Check,Computer Routing Code,Central Routing Control,Core Repeat Check,Cyclic Redundancy Check,Error detection method
Computer Networks,Hard,What is parity bit?,Error detection bit,Data bit,IP bit,MAC bit,Error detection bit,Simple error checking
Computer Networks,Hard,What is checksum failure?,Data corruption,Speed increase,Routing success,Encryption success,Data corruption,Data error detected
Computer Networks,Hard,What is NAT traversal?,Access through NAT,Blocking NAT,Deleting NAT,Speed NAT,Access through NAT,Allows external access
Computer Networks,Hard,What is MPLS?,Multi Protocol Label Switching,Main Packet Link System,Multi Path Layer System,Managed Protocol LAN System,Multi Protocol Label Switching,Efficient routing method
Computer Networks,Hard,What is QoS?,Quality of Service,Quick Output Speed,Query Operating System,Queue of Signals,Quality of Service,Manages traffic priority
Computer Networks,Hard,What is jitter buffer?,Smooths packet delay,Storage device,Router memory,Firewall tool,Smooths packet delay,Reduces delay variation
Computer Networks,Hard,What is VPN encryption?,Secure tunneling,Speed increase,Routing method,Packet loss,Secure tunneling,Protects data
Computer Networks,Hard,What is port scanning?,Finding open ports,Speed test,Routing test,Encryption test,Finding open ports,Used in security analysis
Computer Networks,Hard,What is man-in-the-middle attack?,Intercepting communication,Hacking CPU,Deleting files,Speed attack,Intercepting communication,Attacker intercepts data
Computer Networks,Hard,What is sniffing?,Capturing packets,Deleting packets,Speed increase,Routing,Capturing packets,Used in network monitoring
Computer Networks,Hard,What is spoofing?,Fake identity attack,Encryption,Routing,Firewall,Fake identity attack,Used in cyber attacks
Computer Networks,Hard,What is VLAN tagging?,Identifying VLANs,Encrypting VLAN,Deleting VLAN,Speed VLAN,Identifying VLANs,Marks VLAN frames
Computer Networks,Hard,What is MPLS label?,Routing identifier,IP address,MAC address,Port number,Routing identifier,Used for fast routing
Computer Networks,Hard,What is ARP cache?,Stored IP-MAC mapping,Router memory,Firewall list,IP table,Stored IP-MAC mapping,Speeds address resolution
Computer Networks,Hard,What is routing convergence?,Network stability,Speed drop,Packet loss,Encryption,Network stability,Routers agree on routes
Computer Networks,Hard,What is network scalability?,Ability to grow network,Speed only,Security only,Hardware type,Ability to grow network,Supports expansion

category,difficulty,question,option1,option2,option3,option4,correct_answer,explanation
DBMS,Easy,What does DBMS stand for?,Database Management System,Data Backup Management System,Database Machine System,Data Management Server,Database Management System,DBMS manages databases
DBMS,Easy,Which language is commonly used with DBMS?,Java,SQL,C++,Python,SQL,SQL is the standard database language
DBMS,Easy,What is a database?,Collection of related data,Operating System,Programming Language,Compiler,Collection of related data,A database stores organized data
DBMS,Easy,Which command retrieves data?,UPDATE,DELETE,SELECT,INSERT,SELECT,SELECT fetches records
DBMS,Easy,Which command inserts data?,ALTER,INSERT,DROP,SELECT,INSERT,INSERT adds rows
DBMS,Easy,What is a row in DBMS called?,Attribute,Tuple,Relation,Schema,Tuple,A row is called a tuple
DBMS,Easy,What is a column called?,Attribute,Tuple,Database,View,Attribute,A column is an attribute
DBMS,Easy,Which key uniquely identifies a row?,Foreign Key,Primary Key,Candidate Key,Alternate Key,Primary Key,Primary key uniquely identifies records
DBMS,Easy,Which key connects two tables?,Primary Key,Composite Key,Foreign Key,Super Key,Foreign Key,Foreign key creates relationships
DBMS,Easy,Which command deletes all rows?,DELETE,DROP,SELECT,CREATE,DELETE,DELETE removes records
DBMS,Easy,Which command changes table structure?,ALTER,SELECT,DELETE,UPDATE,ALTER,ALTER modifies schema
DBMS,Easy,What is SQL?,Structured Query Language,System Query Logic,Simple Query Language,Standard Query Logic,Structured Query Language,SQL is used for database operations
DBMS,Easy,Which SQL clause filters rows?,ORDER BY,GROUP BY,WHERE,HAVING,WHERE,WHERE filters records
DBMS,Easy,Which clause sorts records?,ORDER BY,HAVING,GROUP BY,WHERE,ORDER BY,ORDER BY sorts data
DBMS,Easy,What is normalization?,Reducing redundancy,Increasing redundancy,Deleting data,Creating backups,Reducing redundancy,Normalization improves database design
DBMS,Easy,Which normal form removes repeating groups?,1NF,2NF,3NF,BCNF,1NF,1NF removes repeating groups
DBMS,Easy,What is a relation?,Table,Row,Column,Database,Table,Relation means table
DBMS,Easy,What is DBMS used for?,Managing Data,Playing Games,Browsing Internet,Compiling Code,Managing Data,DBMS organizes and manages data
DBMS,Easy,Which SQL command creates a table?,CREATE,ALTER,UPDATE,DROP,CREATE,CREATE makes new tables
DBMS,Easy,Which command removes a table?,DROP,DELETE,TRUNCATE,REMOVE,DROP,DROP removes table completely
DBMS,Easy,What is a schema?,Database structure,Database row,Database key,Database index,Database structure,Schema defines organization
DBMS,Easy,What is a view?,Virtual table,Physical table,Index,Constraint,Virtual table,View stores query results virtually
DBMS,Easy,What is redundancy?,Duplicate data,Missing data,Sorted data,Encrypted data,Duplicate data,Redundancy wastes storage
DBMS,Easy,What is an entity?,Real-world object,Database file,Query,Transaction,Real-world object,Entity represents an object
DBMS,Easy,What is ER model used for?,Database design,Programming,Networking,Security,Database design,ER model models data
DBMS,Easy,What does DDL stand for?,Data Definition Language,Data Display Language,Database Definition Logic,Data Dynamic Language,Data Definition Language,DDL defines structure
DBMS,Easy,What does DML stand for?,Data Manipulation Language,Data Management Logic,Database Manipulation Logic,Data Mapping Language,Data Manipulation Language,DML manipulates records
DBMS,Easy,Which command updates records?,UPDATE,SELECT,INSERT,DROP,UPDATE,UPDATE modifies existing data
DBMS,Easy,What is a candidate key?,Possible primary key,Foreign key,Composite key,Duplicate key,Possible primary key,Candidate keys uniquely identify rows
DBMS,Easy,What is a super key?,Set of attributes identifying rows,Foreign key,Normal form,Index,Set of attributes identifying rows,Super key uniquely identifies tuples
DBMS,Easy,What is a composite key?,Key with multiple columns,Primary key,Foreign key,Index,Key with multiple columns,Composite key uses multiple attributes
DBMS,Easy,Which SQL command removes table data but keeps structure?,TRUNCATE,DROP,DELETE,ALTER,TRUNCATE,Structure remains intact
DBMS,Easy,What is a transaction?,Logical unit of work,Table,Column,Index,Logical unit of work,Transaction groups operations
DBMS,Easy,Which property ensures all-or-none execution?,Atomicity,Consistency,Isolation,Durability,Atomicity,Atomicity ensures complete execution
DBMS,Easy,What is consistency?,Valid state maintenance,Fast retrieval,Data deletion,Backup process,Valid state maintenance,Consistency preserves integrity
DBMS,Easy,What is isolation?,Independent transaction execution,Data sharing,Backup,Recovery,Independent transaction execution,Transactions do not interfere
DBMS,Easy,What is durability?,Permanent committed data,Temporary storage,Indexing,Locking,Permanent committed data,Committed data survives failures
DBMS,Easy,What is indexing used for?,Faster retrieval,Deleting data,Normalization,Security,Faster retrieval,Indexes speed up search
DBMS,Easy,Which key cannot contain NULL?,Primary Key,Foreign Key,Composite Key,Alternate Key,Primary Key,Primary key must be unique and not null
DBMS,Easy,What is cardinality?,Number of relationships,Rows count,Column count,Table count,Number of relationships,Cardinality defines relationship count
DBMS,Easy,What is degree of a table?,Number of columns,Rows,Tables,Indexes,Number of columns,Degree equals attributes count
DBMS,Easy,What is tuple count called?,Cardinality,Degree,Schema,View,Cardinality,Cardinality equals row count
DBMS,Easy,Which command removes selected rows?,DELETE,TRUNCATE,DROP,ALTER,DELETE,DELETE can use conditions
DBMS,Easy,What is metadata?,Data about data,Duplicate data,Deleted data,Encrypted data,Data about data,Metadata describes data
DBMS,Easy,What is a query?,Request for data,Table,Database,Transaction,Request for data,Queries retrieve information
DBMS,Easy,What is a constraint?,Rule on data,Table,Index,Database,Rule on data,Constraints maintain accuracy
DBMS,Easy,Which constraint prevents duplicate values?,UNIQUE,NOT NULL,CHECK,DEFAULT,UNIQUE,UNIQUE ensures distinct values
DBMS,Easy,Which constraint prevents null values?,NOT NULL,CHECK,DEFAULT,UNIQUE,NOT NULL,Column must contain a value
DBMS,Easy,Which command displays table structure?,DESC,SHOW,VIEW,STRUCT,DESC,DESC describes table structure
DBMS,Easy,Which database model uses tables?,Relational Model,Network Model,Hierarchical Model,Object Model,Relational Model,Relational databases use tables  


DBMS,Medium,Which SQL clause is used after GROUP BY to filter groups?,HAVING,WHERE,ORDER BY,SELECT,HAVING,HAVING filters grouped records
DBMS,Medium,Which join returns only matching records from both tables?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,INNER JOIN,Returns common rows
DBMS,Medium,Which normal form removes partial dependency?,2NF,1NF,3NF,BCNF,2NF,2NF removes partial dependency
DBMS,Medium,Which normal form removes transitive dependency?,3NF,2NF,1NF,BCNF,3NF,3NF removes transitive dependency
DBMS,Medium,What is a view?,Virtual Table,Physical Table,Index,Constraint,Virtual Table,View stores query result
DBMS,Medium,What is a deadlock?,Transactions waiting forever,Database crash,Data loss,Index corruption,Transactions waiting forever,Circular resource waiting
DBMS,Medium,Which command removes all rows but keeps structure?,TRUNCATE,DROP,DELETE,ALTER,TRUNCATE,Table structure remains
DBMS,Medium,Which key is chosen from candidate keys?,Primary Key,Foreign Key,Composite Key,Super Key,Primary Key,Selected candidate key
DBMS,Medium,Which SQL function counts rows?,COUNT(),SUM(),AVG(),MAX(),COUNT(),Returns row count
DBMS,Medium,Which operator combines query results?,UNION,JOIN,MERGE,GROUP,UNION,Combines result sets
DBMS,Medium,What is denormalization?,Adding redundancy,Removing redundancy,Deleting tables,Creating indexes,Adding redundancy,Used for performance
DBMS,Medium,What does ACID stand for?,Atomicity Consistency Isolation Durability,Access Control Integrity Data,Atomic Control Isolation Data,Automatic Consistency Integrity Durability,Atomicity Consistency Isolation Durability,Transaction properties
DBMS,Medium,Which SQL clause sorts records?,ORDER BY,GROUP BY,HAVING,WHERE,ORDER BY,Sorts output
DBMS,Medium,What is indexing used for?,Fast retrieval,Data backup,Normalization,Encryption,Fast retrieval,Improves search performance
DBMS,Medium,Which join returns all rows from left table?,LEFT JOIN,INNER JOIN,RIGHT JOIN,FULL JOIN,LEFT JOIN,Includes unmatched left rows
DBMS,Medium,What is a composite key?,Multiple columns key,Primary key,Foreign key,Unique key,Multiple columns key,Combination of attributes
DBMS,Medium,What is cardinality?,Uniqueness of values,Rows deleted,Columns count,Table count,Uniqueness of values,Measures uniqueness
DBMS,Medium,What is rollback?,Undo transaction,Commit transaction,Delete table,Backup database,Undo transaction,Reverses changes
DBMS,Medium,Which command permanently saves transaction?,COMMIT,ROLLBACK,SAVEPOINT,DELETE,COMMIT,Saves transaction
DBMS,Medium,What is a savepoint?,Transaction checkpoint,Table backup,Index file,Database copy,Transaction checkpoint,Partial rollback point
DBMS,Medium,Which SQL clause groups records?,GROUP BY,ORDER BY,HAVING,WHERE,GROUP BY,Groups rows
DBMS,Medium,Which join returns all rows from right table?,RIGHT JOIN,INNER JOIN,LEFT JOIN,FULL JOIN,RIGHT JOIN,Includes unmatched right rows
DBMS,Medium,What is a candidate key?,Potential primary key,Foreign key,Index key,Duplicate key,Potential primary key,Can uniquely identify rows
DBMS,Medium,What is a foreign key used for?,Relationship between tables,Sorting data,Indexing,Normalization,Relationship between tables,Links tables
DBMS,Medium,What is a trigger?,Automatic action,Backup file,View table,Index structure,Automatic action,Executes on events 
DBMS,Medium,Which normal form removes multivalued dependencies?,4NF,3NF,BCNF,5NF,4NF,4NF removes multivalued dependencies
DBMS,Medium,Which normal form removes join dependencies?,5NF,4NF,BCNF,3NF,5NF,5NF removes join dependencies
DBMS,Medium,What is a database transaction?,Logical unit of work,Database backup,Table structure,Index file,Logical unit of work,Transaction groups operations
DBMS,Medium,Which isolation level allows dirty reads?,Read Uncommitted,Read Committed,Repeatable Read,Serializable,Read Uncommitted,Lowest isolation level
DBMS,Medium,Which isolation level prevents dirty reads?,Read Committed,Read Uncommitted,Serializable,Repeatable Read,Read Committed,Prevents uncommitted data access
DBMS,Medium,What is a clustered index?,Data stored in index order,Separate lookup table,Backup index,Virtual index,Data stored in index order,Rows follow index sequence
DBMS,Medium,What is a non-clustered index?,Separate index structure,Data order index,Primary index,Unique index,Separate index structure,Points to data rows
DBMS,Medium,Which SQL function returns highest value?,MAX(),MIN(),AVG(),COUNT(),MAX(),Returns maximum value
DBMS,Medium,Which SQL function returns lowest value?,MIN(),MAX(),AVG(),COUNT(),MIN(),Returns minimum value
DBMS,Medium,Which SQL function returns average value?,AVG(),SUM(),COUNT(),MAX(),AVG(),Returns average
DBMS,Medium,What is referential integrity?,Valid table relationships,Data backup,Data sorting,Data compression,Valid table relationships,Ensures foreign key consistency
DBMS,Medium,What is data independence?,Changing schema without affecting applications,Data backup,Data security,Data deletion,Changing schema without affecting applications,Separates storage and application
DBMS,Medium,What is logical data independence?,Change logical schema,Change hardware,Change OS,Change database name,Change logical schema,No effect on applications
DBMS,Medium,What is physical data independence?,Change storage details,Change tables,Change columns,Change constraints,Change storage details,No effect on logical schema
DBMS,Medium,What is a subquery?,Query inside another query,Nested table,Index query,Backup query,Query inside another query,Used within SQL statements
DBMS,Medium,What is an aggregate function?,Works on multiple rows,Creates tables,Deletes rows,Creates indexes,Works on multiple rows,Processes groups of values
DBMS,Medium,Which command renames a table?,ALTER TABLE,UPDATE,MODIFY,RENAME COLUMN,ALTER TABLE,Used to rename objects
DBMS,Medium,What is a schema diagram?,Database structure diagram,Network diagram,Backup diagram,OS diagram,Database structure diagram,Shows database design
DBMS,Medium,What is data integrity?,Accuracy and consistency of data,Fast retrieval,Backup system,Normalization,Accuracy and consistency of data,Maintains correctness
DBMS,Medium,Which join returns all records from both tables?,FULL OUTER JOIN,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,Combines all rows
DBMS,Medium,What is a stored procedure?,Precompiled SQL code,Backup script,Index file,Data model,Precompiled SQL code,Stored in database
DBMS,Medium,What is a cursor?,Pointer to query result,Primary key,Foreign key,Index,Pointer to query result,Processes rows individually
DBMS,Medium,What is a sequence?,Number generator,Index structure,Constraint,View,Number generator,Generates unique values
DBMS,Medium,What is a synonym?,Alternative object name,Duplicate table,Backup table,Virtual table,Alternative object name,Alias for database object
DBMS,Medium,What is database security?,Protection from unauthorized access,Backup process,Indexing,Normalization,Protection from unauthorized access,Controls access 


DBMS,Hard,What is a phantom read?,Rows appear/disappear during transaction,Dirty read,Lost update,Deadlock,Rows appear/disappear during transaction,Occurs due to concurrent inserts/deletes
DBMS,Hard,What is a dirty read?,Reading uncommitted data,Reading duplicate data,Reading backup data,Reading metadata,Reading uncommitted data,Can lead to inconsistency
DBMS,Hard,What is a non-repeatable read?,Same query returns different results,Duplicate rows,Deadlock,Missing rows,Same query returns different results,Data changed by another transaction
DBMS,Hard,Which isolation level prevents phantom reads?,Serializable,Repeatable Read,Read Committed,Read Uncommitted,Serializable,Highest isolation level
DBMS,Hard,What is MVCC?,Multi Version Concurrency Control,Multiple Variable Control,Memory Version Cache Control,Managed Virtual Control Center,Multi Version Concurrency Control,Allows concurrent access
DBMS,Hard,What is a deadlock prevention technique?,Resource Ordering,Normalization,Indexing,Partitioning,Resource Ordering,Prevents circular wait
DBMS,Hard,What is a wait-for graph used for?,Deadlock detection,Backup recovery,Index creation,Query optimization,Deadlock detection,Detects cycles
DBMS,Hard,What is write-ahead logging?,Log before database write,Log after commit,Backup logging,Index logging,Log before database write,Supports recovery
DBMS,Hard,What is checkpointing?,Saving database state,Deleting logs,Index rebuilding,Normalization,Saving database state,Improves recovery speed
DBMS,Hard,What is a cascading rollback?,Rollback affecting dependent transactions,Rollback table,Delete database,Index reset,Rollback affecting dependent transactions,Occurs due to dependencies
DBMS,Hard,What is two-phase locking?,Growing and shrinking lock phases,Double authentication,Two indexes,Dual backups,Growing and shrinking lock phases,Ensures serializability
DBMS,Hard,What is strict two-phase locking?,Locks held until commit,Double lock release,Lock twice,Unlock before commit,Locks held until commit,Prevents cascading rollback
DBMS,Hard,What is a distributed database?,Database across multiple locations,Cloud backup,Virtual table,Single server database,Database across multiple locations,Data stored at different sites
DBMS,Hard,What is horizontal fragmentation?,Dividing rows,Dividing columns,Dividing indexes,Dividing schemas,Dividing rows,Rows distributed across sites
DBMS,Hard,What is vertical fragmentation?,Dividing columns,Dividing rows,Dividing tables,Dividing keys,Dividing columns,Columns distributed separately
DBMS,Hard,What is replication?,Copying data across servers,Deleting duplicates,Creating views,Compressing data,Copying data across servers,Improves availability
DBMS,Hard,What is sharding?,Horizontal partitioning,Vertical partitioning,Indexing,Normalization,Horizontal partitioning,Distributes data
DBMS,Hard,What is query optimization?,Finding efficient execution plan,Deleting duplicates,Creating indexes,Compressing tables,Finding efficient execution plan,Improves performance
DBMS,Hard,What is a cost-based optimizer?,Uses cost estimates,Uses random plans,Uses indexes only,Uses caching only,Uses cost estimates,Chooses best execution plan
DBMS,Hard,Which algorithm is commonly used for join optimization?,Dynamic Programming,DFS,BFS,Dijkstra,Dynamic Programming,Optimizes join order
DBMS,Hard,What is a materialized view?,Stored query result,Virtual table,Index structure,Constraint,Stored query result,Improves query performance
DBMS,Hard,What is database federation?,Integrating multiple databases,Creating indexes,Partitioning tables,Compressing records,Integrating multiple databases,Provides unified access
DBMS,Hard,What is denormalization primarily used for?,Performance improvement,Reducing redundancy,Increasing security,Reducing storage,Performance improvement,Trades redundancy for speed
DBMS,Hard,What is a bitmap index best suited for?,Low-cardinality columns,High-cardinality columns,Primary keys,Foreign keys,Low-cardinality columns,Efficient for few distinct values
DBMS,Hard,What is a hash index optimized for?,Exact match queries,Range queries,Sorting,Joins,Exact match queries,Uses hash function for lookup  
DBMS,Hard,What is a B+ Tree index?,Balanced tree index structure,Hash table,Linked list,Bitmap table,Balanced tree index structure,Most common DBMS index
DBMS,Hard,What is transaction starvation?,Transaction waits indefinitely,Transaction rollback,Deadlock,Data corruption,Transaction waits indefinitely,Occurs due to resource allocation
DBMS,Hard,What is optimistic concurrency control?,Assumes conflicts are rare,Uses locks heavily,Prevents transactions,Deletes conflicts,Assumes conflicts are rare,Validation occurs before commit
DBMS,Hard,What is pessimistic concurrency control?,Locks resources before access,Assumes no conflicts,Uses snapshots,Uses replication,Locks resources before access,Prevents conflicts early
DBMS,Hard,What is a surrogate key?,Artificial generated key,Foreign key,Composite key,Natural key,Artificial generated key,Often auto-incremented
DBMS,Hard,What is a natural key?,Real-world attribute key,Generated key,Foreign key,Index key,Real-world attribute key,Derived from actual data
DBMS,Hard,What is a covering index?,Index containing all required columns,Primary index,Hash index,Unique index,Index containing all required columns,Reduces table access
DBMS,Hard,What is index selectivity?,Uniqueness of indexed values,Index size,Number of tables,Query count,Uniqueness of indexed values,Higher selectivity improves performance
DBMS,Hard,What is a star schema?,Fact table with dimension tables,Network schema,Hierarchical schema,Object schema,Fact table with dimension tables,Used in data warehousing
DBMS,Hard,What is a snowflake schema?,Normalized dimension schema,Flat schema,Network schema,Hash schema,Normalized dimension schema,Extension of star schema
DBMS,Hard,What is OLTP?,Online Transaction Processing,Online Table Processing,Offline Transaction Processing,Object Transaction Processing,Online Transaction Processing,Handles daily transactions
DBMS,Hard,What is OLAP?,Online Analytical Processing,Online Application Processing,Object Analytical Processing,Offline Analytical Processing,Online Analytical Processing,Used for analytics
DBMS,Hard,What is data warehousing?,Centralized analytical storage,Backup database,Indexing system,Normalization method,Centralized analytical storage,Supports business intelligence
DBMS,Hard,What is ETL?,Extract Transform Load,Encode Transfer Load,Execute Transform Link,Extract Table Link,Extract Transform Load,Data integration process
DBMS,Hard,What is a fact table?,Stores measurable data,Stores metadata,Stores indexes,Stores constraints,Stores measurable data,Central table in warehouse
DBMS,Hard,What is a dimension table?,Stores descriptive attributes,Stores transactions,Stores indexes,Stores logs,Stores descriptive attributes,Provides context to facts
DBMS,Hard,What is a data mart?,Subset of data warehouse,Backup database,Index repository,Schema diagram,Subset of data warehouse,Focused on specific department
DBMS,Hard,What is CAP theorem?,Consistency Availability Partition Tolerance,Control Access Partition Theory,Consistency Access Protocol Tolerance,Cache Availability Processing Theory,Consistency Availability Partition Tolerance,Distributed systems theorem
DBMS,Hard,What is eventual consistency?,Data becomes consistent over time,Immediate consistency,No consistency,Partial backup,Data becomes consistent over time,Common in distributed databases
DBMS,Hard,What is a NoSQL database?,Non-relational database,SQL optimizer,Query language,Backup database,Non-relational database,Designed for scalability
DBMS,Hard,What is database partitioning?,Splitting large tables,Creating indexes,Normalizing data,Creating views,Splitting large tables,Improves performance
DBMS,Hard,What is range partitioning?,Partition based on value ranges,Random partitioning,Hash partitioning,List partitioning,Partition based on value ranges,Uses intervals
